,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
462,R.E. Phelon Company,"Aiken, South Carolina",1997-09-15,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",4,3,7,,,No,,,,,,Black American or African American,Male,,,,3.347.524.551,-8.172.595.949,,,314.0
463,Bethel Regional High School,"Bethel, Alaska",1997-02-19,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",2,2,4,,,Yes,,,,,,White American or European American,Male,,,,6.079.053.882,-1.617.927.517,,,315.0
464,San Diego State University,"San Diego, California",1996-08-15,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",3,0,3,,,No,,,,,,White American or European American,Male,,,,3.286.357.277,-1.171.281.628,,,316.0
466,Fort Lauderdale City Parks Office,"Fort Lauderdale, Florida",1996-02-09,"On February 9, 1996, a fired maintenance worker in Fort Lauderdale, Florida arrived at his former workplace and began shooting his ex-coworkers, killing five and wounding another before killing himself. The wounded victim later died of his injuries. He was dismissed from the position due to obscene behavior toward park visitors and for failing a drug test, though he attributed his termination to his supervisors' racism.",7,0,6,,,No,,,,,,Black American or African American,Male,,,,2.611.737.018,-8.014.865.708,,,318.0
467,Frontier Junior High School,"Moses Lake, Washington",1996-02-02,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",3,1,4,,,Yes,,,,,,White American or European American,Male,,,,4.712.189.424,-1.192.750.699,,,319.0
468,Richland High School,"Lynnville, Tennessee",1995-11-15,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",2,1,3,,,Yes,,,,,,White American or European American,Male,,,,3.537.810.374,-8.700.610.559,,,320.0
470,Walter Rossler Company,"Corpus Christi, Texas",1995-04-03,"On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room.",6,0,5,,,No,,,,,,Unknown,Male,,,,2.773.907.518,-9.743.073.352,,,322.0
471,Montclair Post Office,"Montclair, New Jersey",1995-03-21,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",4,1,5,,,No,,,,,,White American or European American,Male,,,,40.826.184,-7.420.862,,,323.0
472,Downtown Chapel Hill,"Chapel Hill, North Carolina",1995-01-26,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",2,2,4,,,Yes,,,,,,White American or European American,Male,,,,3.592.681.467,-7.903.850.407,,,324.0
473,Massachusetts Abortion Clinic,"Brookline, Massachusetts",1994-12-30,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one.",2,5,7,,,Yes,,,,,,White American or European American,Male,,,,4.232.427.392,-7.114.080.012,,,325.0
474,Wickliffe Middle School,"Wickliffe, Ohio",1994-11-07,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",1,3,4,,,Yes,,,,,,White American or European American,Male,,,,4.160.713.735,-8.146.902.046,,,326.0
476,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",1994-06-20,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",5,23,27,,,Yes,,,,,,White American or European American,Male,,,,47.618.456,-117.644.099,,,328.0
477,"Residence in Union, Kentucky","Union, Kentucky",1994-05-26,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",4,0,4,,,No,,,,,,White American or European American,Male,,,,3.895.130.818,-8.467.066.339,,,329.0
478,Chelsea High School,"Chelsea, Michigan",1993-12-16,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",1,2,3,,,Yes,,,,,,White American or European American,Male,,,,4.231.319.376,-8.401.868.108,,,330.0
480,Chuck E. Cheese in Aurora,"Aurora, Colorado",1993-12-14,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",4,1,5,,,Yes,,,,,,Black American or African American,Male,,,,3.969.892.933,-1.047.871.863,,,332.0
482,Long Island Rail Road Commuter Train,"Garden City, New York",1993-12-07,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",6,19,25,,,No,,,,,,Black American or African American,Male,,,,4.072.662.266,-73.644.712,,,334.0
483,Central Middle School,"Sheridan, Wyoming",1993-09-17,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",1,4,4,,,No,,,,,,White American or European American,Male,,,,4.479.051.074,-1.069.599.165,,,335.0
485,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",1993-08-06,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",4,8,12,,,No,,,,,,White American or European American,Male,,,,3.507.997.086,-7.903.796.125,,,337.0
486,Weber State University,"Ogden, Utah",1993-07-08,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",1,3,3,,,No,,,,,,Asian American,Male,,,,412.281.367,-1.119.675.317,,,338.0
488,Offices of Pettit & Martin in San Francisco,"San Francisco, California",1993-07-01,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",9,6,14,,,No,,,,,,White American or European American,Male,,,,3.775.457.839,-1.224.424.343,,,340.0
489,Dearborn Post Office,"Dearborn, Michigan",1993-05-06,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",2,2,3,,,Unknown,,,,,,Unknown,Male,,,,4.231.269.522,-8.321.293.244,,,341.0
